X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1850975.7202,6311425.3676,4603,25895,2556,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/04/21 00:00:00+00,,,,,,,7,,,,Provazníkova  49,Provazníkova,1271,A,2023/04/19 00:00:00+00,{7FE96B97-9A8C-440F-9760-98F24E3609DD}
1848353.9792,6307577.0777,4604,12057,3676,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2019/10/03 00:00:00+00,,,,,,,7,,,,Pekařská 6 - v domě,Pekařská,399,N,2023/04/19 00:00:00+00,{6E57541F-AD71-480F-B162-2991320AD946}
1847892.0367,6313797.8582,4605,5425,2834,,Sklo barevné,240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/08/19 00:00:00+00,,,,,,,7,,,,,,,Myslínova 2,Myslínova,352,A,2023/04/19 00:00:00+00,{C7E1A63E-E28F-468C-9393-AE3C6D4C5C42}
1845979.9686,6315389.9208,4606,13897,3731,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,N,A,N,N,A,N,,,2019/01/16 00:00:00+00,,,2020/03/21 00:00:00+00,,,,7,,,7,,Jabloňová x Podpěrova,Podpěrova,439,A,2023/04/19 00:00:00+00,{826CA43B-EE7B-4CCB-B2BA-4C96C9319387}
1840824.9523,6307720.9295,4607,25959,3759,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2022/04/19 00:00:00+00,,,,,,,7,,,,,,Ulička 8,Ulička,861,A,2023/04/19 00:00:00+00,{A9232DF3-B7C9-436B-B7B1-28DDF34F4F24}
1857729.1398,6302790.2485,4608,12143,3410,,Papír,1100,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/16 00:00:00+00,,,,,,,7,,,,,Slatinka 24,Slatinka,129,A,2023/04/19 00:00:00+00,{3027B473-03DA-4746-A108-CDD8D8BA0658}
1842007.3656,6305254.1045,4609,22145,2898,,Textil,1000,1x14 sudý,SAKO,N,N,N,A,N,N,N,,,,2019/01/10 00:00:00+00,,,,,,,,,,,Slunečná 6,Slunečná,481,A,2023/04/19 00:00:00+00,{094C9661-3B3A-49A1-BB38-9E8E5901D23C}
1847331.8548,6309614.4833,4610,16723,6957,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Konečného nám. 1 - v domě,Konečného náměstí,50,N,2023/04/19 00:00:00+00,{B8B5654A-8352-4075-B713-A21BAB39804D}
1858364.5959,6309659.6851,4611,24346,3775,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2021/04/19 00:00:00+00,,,,,,,7,,,,,,,Trnkova x Belcrediho,Trnkova,1,A,2023/04/19 00:00:00+00,{4DC74341-79A2-4E35-A4DD-43F6B4B8B812}
1844590.9908,6308460.5659,4612,17732,7520,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/16 00:00:00+00,,,,,,,7,,,,,Kalvodova 4 - v domě,Kalvodova,559,N,2023/04/19 00:00:00+00,{A24B13E9-FD1D-4ADE-8453-AD700FEAA059}
1846092.0674,6317804.8858,4613,5660,2910,Sklo duo - bílé,Sklo bílé,1125,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2022/02/09 00:00:00+00,,,,,,,14,,,,,bratří Křičků 5,bratří Křičků,1544,A,2023/04/19 00:00:00+00,{8FDE5D25-7AF1-411D-9D53-E5BAF3AAE57B}
1849516.1658,6309311.8098,4614,18748,8184,,Papír,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2019/01/15 00:00:00+00,,,,,,,7,,,,,,Traubova 7 - v domě,Traubova,1918,N,2023/04/19 00:00:00+00,{414EDC0E-A5A1-404B-BB53-D3A8F0A56018}
1846064.3043,6311601.0172,4615,24718,2449,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Voroněžská10,Voroněžská,2378,A,2023/04/19 00:00:00+00,{00BB708A-028A-4A12-BA60-2CDD44828331}
1846506.1313,6306046.2684,4616,12412,2616,,Papír,1100,2x týdně,EKO-KOM,A,N,N,A,N,N,N,2019/03/18 00:00:00+00,,,2019/03/21 00:00:00+00,,,,7,,,7,,,,Červený kopec 28,Červený kopec,829,A,2023/04/19 00:00:00+00,{78CA3AD8-00C6-4F15-A36A-FD8AF7EDFAA1}
1853826.9129,6307551.1693,4617,6127,3052,Sklo duo - bílé,Sklo bílé,1125,1x14 sudý,SAKO,N,A,N,N,N,N,N,,2022/02/08 00:00:00+00,,,,,,,14,,,,,,Boettingrova 5,Boettingrova,3813,A,2023/04/19 00:00:00+00,{76295DBA-D52B-4326-B7DA-4452577036F1}
1847851.0934,6308415.3876,4618,16941,7060,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/07/10 00:00:00+00,,,,,,,7,,,,,Údolní 27 - v domě,Údolní,527,N,2023/04/19 00:00:00+00,{14C52F3D-7F79-468B-83FC-C75F2C4FD3A5}
