tid,nazev,verejnost
20604,Hodonínská 21,1
23135,Hrnčířská x Bayerova,1
10356,Bašného 36,1
11748,Chopinova 2,1
11573,Axmanova 11,1
12099,Prokofjevova 1,1
22858,Křepelčí 7,0
11980,Myslivní 9,1
12454,Chopinova 5,1
12695,U Velké ceny 14,1
12118,Rekreační 9,1
11907,Libušina třída 25,1
11908,Libušino údolí  154,1
12690,Tuřanské náměstí 35,1
16254,Kamínky 8,1
22351,Oblá 53,1
12661,Šaumannova 4,1
20860,Žabí x Chvalovka,1
20862,Žabí x Chvalovka,1
20365,Chudčická-Žabí,1
20474,Chudčická-Žabí,1
12529,Lieberzeitova x Nováčkova,1
13856,Milady Horákové x Francouzská,1
12836,Merhautova 13,1
14136,Kamechy x Vlaštovčí,1
10342,Pionýrská x Střední,1
12339,Vranovská 72,1
22078,Drobného x Schodová,1
12340,Vranovská 72,1
14216,Fišova x Erbenova,1
20822,Kamínky 3b,1
18239,Chaloupkova 13,1
11623,Břeclavská 12,1
12383,Bellova 13,1
12487,K Bukovinám 35,1
20581,Lidická 63 - v domě,0
11854,Kounicova 67,1
12274,V aleji 176,1
21258,Lidická 63 - v domě,0
11806,Kamínky 14,1
11640,Černého 52,1
11863,Krausova 1,1
22806,Foerstrova 7,1
11855,Kounicova 67,1
22277,Kubíčkova x Páteřní,1
12544,Milady Horákové 18 (dvůr MP),1
11956,Měšťanská 21,1
22822,Rerychova 10-12,1
11616,Božetěchova 67-69,1
11586,Bellova 46,1
11696,Glinkova 2,1
22301,Běly Pažoutové 2-6,1
12263,Ulička 14,1
22056,Svatopluka Čecha 101a,1
11871,Křenová x Vlhká,1
22058,Pešinova 2,1
16439,Svahová 2,1
11678,Eleonory Voračické 39,1
18245,U Červeného mlýna 2,1
11856,Sevřená,1
20602,Hodonínská 13,1
11895,Laštůvkova 31,1
12375,Axmanova 2,1
12167,Stamicova 1,1
15439,Talichova x Bašného,1
12334,Voříškova 4,1
12335,Voříškova 5/7,1
12333,Voříškova 29,1
12331,Voříškova  2,1
12374,Axmanova 12,1
16400,Řehořova x E.Krásnohorské,1
12384,Bellova 19,1
16401,Řehořova x E.Krásnohorské,1
22287,Chudčická 15 -17,1
19983,Jírovcova 2,1
11785,Jírovcova 44,1
15957,Herčíkova 6,1
16025,Herčíkova 1,1
15140,Chodská 13,1
12907,Božetěchova 102,1
12385,Bellova 22,1
11615,Botanická 57,1
15162,Klatovská 2,1
20499,Rybníček x Střední,1
12168,Stamicova 7,1
12722,Veveří 40,1
12372,Absolonova 51,1
12370,Absolonova x Hlavní,1
22854,Dobrovského x Slovinská,1
12371,Absolonova 20 a,1
11559,Absolonova x Hlavní,1
11648,Dolnopolní 75,1
11649,Dolnopolní 75,1
11633,"Čápkova 17,19",1
11897,Lazaretní 11,1
23119,Chudčická x Přírodní,1
